source,filename,pages,characters,words,bert_tokens,text_file
nerc,2014ltra_eratta.pdf,115,413871,61010,94678,D:\GridBERT\text\nerc\ltra\2014ltra_eratta.txt
nerc,2015ltra---final-report.pdf,103,365942,53550,82079,D:\GridBERT\text\nerc\ltra\2015ltra---final-report.txt
nerc,97ras.pdf,55,173848,26046,34526,D:\GridBERT\text\nerc\ltra\97ras.txt
nerc,98ras.pdf,69,202891,30327,41209,D:\GridBERT\text\nerc\ltra\98ras.txt
nerc,99ras.pdf,88,266955,39946,54472,D:\GridBERT\text\nerc\ltra\99ras.txt
nerc,ltra2003.pdf,88,238673,34721,53093,D:\GridBERT\text\nerc\ltra\ltra2003.txt
nerc,ltra2004.pdf,91,250823,36792,54553,D:\GridBERT\text\nerc\ltra\ltra2004.txt
nerc,ltra2005.pdf,109,250224,36636,56568,D:\GridBERT\text\nerc\ltra\ltra2005.txt
nerc,ltra2006.pdf,134,331642,48383,74686,D:\GridBERT\text\nerc\ltra\ltra2006.txt
nerc,ltra2007.pdf,238,602729,89023,131326,D:\GridBERT\text\nerc\ltra\ltra2007.txt
nerc,ltra2008v1_2.pdf,303,768785,114375,169116,D:\GridBERT\text\nerc\ltra\ltra2008v1_2.txt
nerc,nerc_ltra_12132017_final.pdf,82,224693,34101,51057,D:\GridBERT\text\nerc\ltra\nerc_ltra_12132017_final.txt
nerc,nerc_ltra_2018_12202018.pdf,151,379220,57739,90471,D:\GridBERT\text\nerc\ltra\nerc_ltra_2018_12202018.txt
nerc,nerc_ltra_2019.pdf,114,269854,41433,65142,D:\GridBERT\text\nerc\ltra\nerc_ltra_2019.txt
nerc,nerc_ltra_2020.pdf,167,410663,63426,98085,D:\GridBERT\text\nerc\ltra\nerc_ltra_2020.txt
nerc,nerc_ltra_2021.pdf,126,343957,51590,81561,D:\GridBERT\text\nerc\ltra\nerc_ltra_2021.txt
nerc,nerc_ltra_2022.pdf,111,322913,48496,76261,D:\GridBERT\text\nerc\ltra\nerc_ltra_2022.txt
nerc,nerc_ltra_2023.pdf,135,406586,60807,94081,D:\GridBERT\text\nerc\ltra\nerc_ltra_2023.txt
nerc,nerc_ltra_2024.pdf,149,441025,66249,102039,D:\GridBERT\text\nerc\ltra\nerc_ltra_2024.txt
nerc,nerc_ltra_2025.pdf,182,600930,88837,134040,D:\GridBERT\text\nerc\ltra\nerc_ltra_2025.txt
